id;brand_id;start_date;end_date;price_list;product_id;priority;price_value;curr
1;79596;2023-06-28T20:46:38;2023-06-29T09:44:21;25738;73101;24328;35011;USD
2;76738;2023-06-29T02:01:51;2023-06-28T17:11:45;19461;74870;76199;71303;GBR
3;60726;2023-06-29T06:49:59;2023-06-29T01:25:41;92707;20188;86469;64569;USD
4;12593;2023-06-29T08:55:09;2023-06-29T09:39:28;52508;76341;14071;43356;USD
5;99416;2023-06-29T10:29:26;2023-06-28T17:34:45;56315;64820;57247;31914;USD
6;97955;2023-06-29T03:35:06;2023-06-29T01:47:41;7848;67844;60660;89614;USD
7;38561;2023-06-29T12:51:34;2023-06-29T04:19:19;99052;36386;89934;23149;USD
8;53422;2023-06-29T12:14:22;2023-06-29T04:30:25;17589;6247;99006;84316;GBR
9;75611;2023-06-29T02:48:27;2023-06-28T14:17:53;55494;75025;76330;41884;USD
10;33694;2023-06-29T09:31:51;2023-06-29T06:24:41;44939;19614;31996;86803;EUR
